subsample,reg_lambda,n_estimators,max_depth,learning_rate,colsample_bytree,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_spearman_mean,cv_pr_auc_mean,cv_roc_auc_mean,cv_best_iteration_mean
1.0,1.0,1200,3,0.1,0.8,0.03126177564263344,0.0037444001435871553,0.012313957139849663,0.817911553721612,0.9716755867852918,0.9835405027371695,77.8
0.6,1.0,600,6,0.03,1.0,0.0313277430832386,0.004551296390827718,0.012068107351660728,0.8114438734258105,0.9742064920777743,0.9853041915873171,262.2
0.8,1.0,1200,6,0.05,0.8,0.03176299221813679,0.0044718071041942465,0.01225045807659626,0.8138245008150001,0.9727763868033563,0.9857996307298894,154.4
1.0,1.0,300,4,0.1,0.8,0.03178257383406162,0.0038154615420935897,0.012404929287731648,0.8184116902010053,0.9724043465564745,0.984823372448451,94.4
1.0,3.0,600,4,0.05,1.0,0.03211565688252449,0.003947827483695214,0.01240456011146307,0.8204793956624614,0.9749596394933933,0.9865107775266436,130.0
0.8,3.0,1200,4,0.1,0.8,0.032165400311350824,0.004877674582317449,0.012409905530512333,0.8168587576734454,0.9732193814411175,0.9858389120156381,78.6
0.6,3.0,300,6,0.1,1.0,0.032192574068903926,0.004136044314720812,0.012456746958196162,0.8067796013783447,0.9702880824988934,0.9819296805463636,79.8
1.0,3.0,600,2,0.1,1.0,0.03219822645187378,0.004634175044648822,0.01302210558205843,0.795019523939622,0.9638762067257618,0.9773966205188562,137.6
1.0,3.0,1200,3,0.05,0.4,0.03233528696000576,0.005199599660447334,0.013218756951391696,0.8003837655525056,0.960346170648576,0.9779661601344596,265.2
0.6,3.0,1200,2,0.05,1.0,0.032412796095013616,0.004785597939292183,0.013265914469957351,0.7889746744409507,0.9590585497616715,0.9735097306245549,304.8
0.6,1.0,300,2,0.05,1.0,0.03250255361199379,0.004414159922998062,0.013126347586512566,0.7991076845752753,0.9600973017889267,0.976526421351694,219.2
0.6,3.0,300,2,0.05,0.4,0.032636786624789235,0.005179450286598112,0.013713663257658482,0.7912738463807465,0.9508383324929628,0.9727170136707144,272.2
0.6,10.0,1200,4,0.01,1.0,0.032662642747163774,0.004255212890951937,0.012283934094011784,0.8148247351459222,0.9750550370929865,0.986579383221286,1114.0
0.6,3.0,1200,2,0.05,0.8,0.032681549340486525,0.004577154334259031,0.013300832547247409,0.7917386574382357,0.9592250893832315,0.9738161753094532,372.8
0.6,10.0,1200,4,0.03,0.8,0.03292023614048958,0.003863182511514509,0.012471495009958745,0.8117562830701445,0.9734733869839836,0.9850177623484984,509.6
0.8,1.0,300,2,0.1,0.2,0.032979992032051084,0.004832269214645073,0.01411644946783781,0.7766342376554807,0.9403958445769511,0.9641493058303476,279.6
0.6,10.0,600,6,0.03,0.8,0.033152011409401896,0.003900787427366619,0.012377243302762509,0.8116972226655678,0.9731576840764274,0.9855196961247568,482.6
0.8,3.0,1200,3,0.03,0.2,0.03323177732527256,0.004585563325680351,0.013741335831582546,0.7923741458702201,0.9523489513483016,0.9734327664830641,755.0
0.8,10.0,300,2,0.05,1.0,0.033551198244094846,0.004812406022369053,0.013512174040079117,0.7877704141293129,0.9604245992762891,0.9733884679953404,247.6
0.6,10.0,300,6,0.1,1.0,0.03379233181476593,0.0036923068133639745,0.012830859795212746,0.8035483707390274,0.9690656353868692,0.9806773584346496,154.4
0.6,1.0,300,2,0.1,0.2,0.03382447697222233,0.004520394781264708,0.014770402386784554,0.7765932976936769,0.9343098341075864,0.9647042452487691,237.6
0.6,3.0,300,2,0.1,0.2,0.03386358246207237,0.004497233467847046,0.014607101120054722,0.7752217098443256,0.9336029689866789,0.9614308800575964,232.0
0.6,30.0,600,6,0.05,1.0,0.034038687124848366,0.0044563238659354135,0.012643803469836712,0.8103648879706347,0.9722458455433483,0.9838360542937876,570.8
0.6,30.0,600,3,0.1,0.8,0.03408063314855099,0.004256686098970224,0.013184312917292117,0.7977461885325985,0.9667399852224371,0.978744295423391,222.8
0.8,30.0,1200,3,0.01,0.8,0.034224648773670194,0.004095796216440626,0.012719248048961162,0.809588730566345,0.9738552889853398,0.9854239793383807,1194.8
1.0,10.0,600,3,0.1,0.8,0.03423097617924213,0.0035485085334074,0.012910205684602261,0.8084375859613665,0.9712376213949778,0.9833760405258491,111.6
1.0,10.0,300,3,0.03,0.8,0.03441042527556419,0.0035417836091222775,0.012830788083374501,0.8112929807755769,0.9736141716103436,0.9854138835124615,273.6
1.0,10.0,300,2,0.1,0.2,0.03444225937128067,0.004499480362715692,0.014314221404492854,0.7779118185142895,0.9420846858266444,0.9646275634602312,255.8
1.0,10.0,300,3,0.03,1.0,0.03460477367043495,0.003317230556318525,0.012874701619148254,0.8087247402823323,0.9730402424048339,0.9846976645312859,260.4
1.0,30.0,1200,2,0.01,0.8,0.03475998640060425,0.004843959633084622,0.013951347768306732,0.7924286819739585,0.9628817366089617,0.976264260980997,1194.4
0.6,10.0,300,4,0.03,0.4,0.0348145131021738,0.003920609852220883,0.013503232412040234,0.8019817502449698,0.9610543903301789,0.9794931463513408,298.2
0.8,3.0,600,6,0.01,0.4,0.034820621460676195,0.00540273249525066,0.013452982157468795,0.8091394012146825,0.9659981236282169,0.9826948884652074,598.6
0.8,30.0,300,3,0.03,0.8,0.03507820591330528,0.0038376642231008396,0.012875856272876263,0.8122779843182888,0.9744178737562702,0.9859344945555459,298.4
1.0,3.0,1200,2,0.01,0.2,0.035152679309248924,0.005228340666921781,0.014871963113546372,0.7865821290278927,0.9437662357264868,0.9690077011633157,1197.8
0.8,10.0,1200,4,0.03,0.2,0.03605012930929661,0.004758230594922124,0.014290903136134148,0.7896686651573734,0.948436763322492,0.9725940688319682,1063.0
0.8,3.0,300,4,0.1,0.2,0.03619905486702919,0.0062610793101673225,0.014878225326538087,0.7850355703822418,0.9428034536281051,0.9682550416965829,254.0
0.8,30.0,600,6,0.1,0.8,0.0364210981875658,0.004199665958451931,0.013144496828317642,0.8060367989499747,0.9726712425461941,0.984362013179368,233.2
1.0,10.0,1200,6,0.05,0.4,0.03765084743499756,0.005968510151036325,0.01404339000582695,0.8016141975675897,0.9593192898368041,0.9793460949699891,412.0
0.6,30.0,600,4,0.01,0.8,0.037871061265468596,0.004909346044274035,0.012880544178187847,0.8175865947903034,0.977451075545688,0.9882329625734808,597.4
0.8,10.0,300,2,0.01,0.8,0.03830761387944222,0.005461147125301843,0.01535971388220787,0.8291153965294912,0.9749945272180568,0.9849407066985385,299.0
1.0,30.0,1200,6,0.1,0.4,0.03844539821147919,0.004445470733635198,0.014444696716964245,0.793426156230247,0.953591370822649,0.9748494242329517,381.0
1.0,1.0,600,6,0.05,0.2,0.03916015848517418,0.006068380756861378,0.01570647433400154,0.7887430753870405,0.9410551032894402,0.9716360580076853,513.6
1.0,1.0,300,6,0.03,0.2,0.039723845571279524,0.00625816924416003,0.01580440755933523,0.7929454852865956,0.9402653734990795,0.9718514290874791,298.0
0.6,10.0,300,6,0.05,0.2,0.04050104096531868,0.005468780999320058,0.015841417573392393,0.7885868727136038,0.9390095380691899,0.9687294458323847,297.4
1.0,10.0,300,6,0.1,0.2,0.04154057279229164,0.006486400811342247,0.016118614003062248,0.7849282401871662,0.93240789189596,0.9666999077942726,298.2
0.8,30.0,300,6,0.05,0.2,0.042439525574445726,0.005965963400865909,0.015934796817600728,0.7884217500250517,0.9418152181631865,0.97030610520198,298.2
1.0,30.0,300,6,0.01,0.8,0.04343835413455963,0.005425313464624742,0.01441681794822216,0.8239315259309908,0.9780015680314531,0.9883635915725746,299.0
1.0,10.0,300,3,0.01,0.2,0.04756516516208649,0.006438988751084498,0.018661005049943925,0.7847168247667874,0.9363146316198924,0.9675433397988483,299.0
